16800,287,0.00
16800,11,0.00
16800,23,0.00
16800,35,0.00
16800,47,0.00
16800,59,0.00
16800,71,0.00
16800,83,22.55
16800,95,127.94
16800,107,144.09
16800,119,94.25
16800,131,49.36
16800,143,31.44
16800,155,21.04
16800,167,0.00
16800,179,0.00
16800,191,0.00
16800,203,0.00
16800,215,0.00
16800,227,0.00
16800,239,0.00
16800,251,0.00
16800,263,0.00
16800,275,0.00
16801,287,0.00
16801,11,0.00
16801,23,0.00
16801,35,0.00
16801,47,0.00
16801,59,0.00
16801,71,0.00
16801,83,119.78
16801,95,40.39
16801,107,39.52
16801,119,100.55
16801,131,68.51
16801,143,10.20
16801,155,22.28
16801,167,0.00
16801,179,0.00
16801,191,0.00
16801,203,0.00
16801,215,0.00
16801,227,0.00
16801,239,0.00
16801,251,0.00
16801,263,0.00
16801,275,0.00
16802,287,0.00
16802,11,0.00
16802,23,0.00
16802,35,0.00
16802,47,0.00
16802,59,0.00
16802,71,0.00
16802,83,88.51
16802,95,332.28
16802,107,463.67
16802,119,514.53
16802,131,403.42
16802,143,299.62
16802,155,188.98
16802,167,0.00
16802,179,0.00
16802,191,0.00
16802,203,0.00
16802,215,0.00
16802,227,0.00
16802,239,0.00
16802,251,0.00
16802,263,0.00
16802,275,0.00
16803,287,0.00
16803,11,0.00
16803,23,0.00
16803,35,0.00
16803,47,0.00
16803,59,0.00
16803,71,0.00
16803,83,96.95
16803,95,100.14
16803,107,444.96
16803,119,134.23
16803,131,179.29
16803,143,82.27
16803,155,118.87
16803,167,0.00
16803,179,0.00
16803,191,0.00
16803,203,0.00
16803,215,0.00
16803,227,0.00
16803,239,0.00
16803,251,0.00
16803,263,0.00
16803,275,0.00
16804,287,0.00
16804,11,0.00
16804,23,0.00
16804,35,0.00
16804,47,0.00
16804,59,0.00
16804,71,0.00
16804,83,61.84
16804,95,52.37
16804,107,41.09
16804,119,66.09
16804,131,55.33
16804,143,49.14
16804,155,22.22
16804,167,0.00
16804,179,0.00
16804,191,0.00
16804,203,0.00
16804,215,0.00
16804,227,0.00
16804,239,0.00
16804,251,0.00
16804,263,0.00
16804,275,0.00
16805,287,0.00
16805,11,0.00
16805,23,0.00
16805,35,0.00
16805,47,0.00
16805,59,0.00
16805,71,0.00
16805,83,178.44
16805,95,57.50
16805,107,28.03
16805,119,74.00
16805,131,37.00
16805,143,48.35
16805,155,43.38
16805,167,0.00
16805,179,0.00
16805,191,0.00
16805,203,0.00
16805,215,0.00
16805,227,0.00
16805,239,0.00
16805,251,0.00
16805,263,0.00
16805,275,0.00
16806,287,0.00
16806,11,0.00
16806,23,0.00
16806,35,0.00
16806,47,0.00
16806,59,0.00
16806,71,0.00
16806,83,25.05
16806,95,69.90
16806,107,60.68
16806,119,132.84
16806,131,479.37
16806,143,190.76
16806,155,63.33
16806,167,1.47
16806,179,0.00
16806,191,0.00
16806,203,0.00
16806,215,0.00
16806,227,0.00
16806,239,0.00
16806,251,0.00
