i:47 Wynik dokladny: 0.0         Wynik przyblizony: 127.01428076619187       Roznica^2: 16132.62751855302   Roznica: 127.01428076619187
i:48 Wynik dokladny: 0.0         Wynik przyblizony: 135.99982282713285       Roznica^2: 18495.951809011523   Roznica: 135.99982282713285
i:49 Wynik dokladny: 0.0         Wynik przyblizony: 121.84264152316804       Roznica^2: 14845.629293343232   Roznica: 121.84264152316804
i:50 Wynik dokladny: 0.0         Wynik przyblizony: 131.80444997316482       Roznica^2: 17372.41303272851   Roznica: 131.80444997316482
i:51 Wynik dokladny: 0.0         Wynik przyblizony: 143.48749672182575       Roznica^2: 20588.661715495957   Roznica: 143.48749672182575
i:52 Wynik dokladny: 0.0         Wynik przyblizony: 155.91268009623997       Roznica^2: 24308.763814792463   Roznica: 155.91268009623997
i:53 Wynik dokladny: 0.0         Wynik przyblizony: 168.03870341327556       Roznica^2: 28237.005844814787   Roznica: 168.03870341327556
i:54 Wynik dokladny: 0.0         Wynik przyblizony: 178.84934119930637       Roznica^2: 31987.086847425904   Roznica: 178.84934119930637
i:55 Wynik dokladny: 88.51         Wynik przyblizony: 187.43860430875017       Roznica^2: 9786.868750477262   Roznica: 98.92860430875017
i:56 Wynik dokladny: 332.28         Wynik przyblizony: 193.08666664996224       Roznica^2: 19374.784049094727   Roznica: 139.19333335003773
i:57 Wynik dokladny: 463.67         Wynik przyblizony: 195.32019045360934       Roznica^2: 72011.62028358417   Roznica: 268.3498095463907
i:58 Wynik dokladny: 514.53         Wynik przyblizony: 193.95199450406344       Roznica^2: 102770.2576077527   Roznica: 320.5780054959365
i:59 Wynik dokladny: 403.42         Wynik przyblizony: 189.09674092430487       Roznica^2: 45934.459380827546   Roznica: 214.32325907569515
i:60 Wynik dokladny: 299.62         Wynik przyblizony: 181.16132587804313       Roznica^2: 14032.457474731975   Roznica: 118.45867412195688
i:61 Wynik dokladny: 188.98         Wynik przyblizony: 170.81077949947203       Roznica^2: 330.12057359680534   Roznica: 18.169220500527956
i:62 Wynik dokladny: 0.0         Wynik przyblizony: 158.91253281858354       Roznica^2: 25253.19308681739   Roznica: 158.91253281858354
i:63 Wynik dokladny: 0.0         Wynik przyblizony: 146.4637224112286       Roznica^2: 21451.621982553424   Roznica: 146.4637224112286
i:64 Wynik dokladny: 0.0         Wynik przyblizony: 134.50762503196154       Roznica^2: 18092.301191738767   Roznica: 134.50762503196154
i:65 Wynik dokladny: 0.0         Wynik przyblizony: 124.04622545392142       Roznica^2: 15387.466049365103   Roznica: 124.04622545392142
i:66 Wynik dokladny: 0.0         Wynik przyblizony: 115.95624479686728       Roznica^2: 13445.85070739101   Roznica: 115.95624479686728
i:67 Wynik dokladny: 0.0         Wynik przyblizony: 110.91566661813036       Roznica^2: 12302.285101344238   Roznica: 110.91566661813036
i:68 Wynik dokladny: 0.0         Wynik przyblizony: 109.3469182719466       Roznica^2: 11956.74853557177   Roznica: 109.3469182719466
i:69 Wynik dokladny: 0.0         Wynik przyblizony: 111.38146924252892       Roznica^2: 12405.831690624416   Roznica: 111.38146924252892
i:70 Wynik dokladny: 0.0         Wynik przyblizony: 116.84881329962246       Roznica^2: 13653.645169530027   Roznica: 116.84881329962246
i:71 Wynik dokladny: 0.0         Wynik przyblizony: 125.29075783065866       Roznica^2: 15697.773997780756   Roznica: 125.29075783065866
i:72 Wynik dokladny: 0.0         Wynik przyblizony: 134.95966489277794       Roznica^2: 18214.111147970918   Roznica: 134.95966489277794
i:73 Wynik dokladny: 0.0         Wynik przyblizony: 119.90145169040125       Roznica^2: 14376.358117465623   Roznica: 119.90145169040125
i:74 Wynik dokladny: 0.0         Wynik przyblizony: 130.49727809825256       Roznica^2: 17029.539591052668   Roznica: 130.49727809825256
i:75 Wynik dokladny: 0.0         Wynik przyblizony: 142.92389078459294       Roznica^2: 20427.23855700625   Roznica: 142.92389078459294
i:76 Wynik dokladny: 0.0         Wynik przyblizony: 156.13987328233466       Roznica^2: 24379.660028623526   Roznica: 156.13987328233466
i:77 Wynik dokladny: 0.0         Wynik przyblizony: 169.03765572111547       Roznica^2: 28573.729051690363   Roznica: 169.03765572111547
i:78 Wynik dokladny: 0.0         Wynik przyblizony: 180.5363350938329       Roznica^2: 32593.368289112717   Roznica: 180.5363350938329
i:79 Wynik dokladny: 96.95         Wynik przyblizony: 189.67226069768822       Roznica^2: 8597.417628890056   Roznica: 92.72226069768821
